55,1,1
71,0,2
68,0,1
66,1,1
55,1,3
66,1,2
55,1,4
66,1,3
55,1,5
66,1,4
55,1,5
66,1,4
71,0,5
68,0,1
55,1,5
66,1,4
55,1,5
66,1,4
71,0,6
68,0,2
55,1,6
66,1,4
78,1,1
82,1,7
60,1,2
55,1,7
66,1,4
85,0,7
85,0,8
101,0,1
158,0,2
1292,0,9
1292,0,10
120,0,11
302,0,12
302,0,13
1242,0,1
1242,0,2
1242,0,3
1242,0,4
1292,0,14
984,0,5
623,0,14
128,0,15
570,0,6
66,0,7
66,0,8
85,0,16
91,0,9
89,0,17
70,0,10
577,0,18
66,0,11
663,0,12
627,0,13
85,0,19
71,0,20
68,0,2
55,1,21
66,1,4
55,1,21
55,1,22
66,1,1
66,1,4
55,1,21
79,1,1
83,1,22
66,1,4
60,1,2
71,0,22
68,0,2
55,1,22
66,1,4
55,1,10
66,1,4
55,1,8
66,1,1
55,1,8
66,1,4
71,0,8
144,1,9
60,1,1
1292,0,10
1292,0,11
121,0,12
293,0,13
68,0,2
1242,0,1
1242,0,2
1242,0,3
66,0,4
66,0,5
1292,0,14
85,0,15
91,0,6
89,0,16
65,0,7
663,0,8
312,0,17
306,0,18
307,0,19
307,0,20
124,1,21
93,1,22
64,0,9
72,0,10
85,0,23
65,0,11
627,0,12
65,0,13
60,1,1
60,1,2
632,0,14
93,1,3
627,0,15
627,0,16
85,0,24
85,0,25
1292,0,26
1292,0,27
124,0,28
175,1,4
54,1,29
123,1,5
85,1,6
54,1,30
89,1,31
133,1,2
1242,0,1
1242,0,2
1242,0,3
1242,0,4
1292,0,32
1059,0,5
179,0,33
127,0,34
1292,0,35
1292,0,36
1292,0,37
1292,0,38
1292,0,39
1292,0,40
597,0,41
139,0,42
1292,0,43
1292,0,44
1292,0,45
1292,0,46
1292,0,47
1292,0,48
666,0,49
570,0,6
66,0,7
86,0,50
66,0,8
91,0,9
89,0,50
65,0,10
65,0,11
128,0,51
65,0,12
65,0,13
65,0,14
65,0,15
65,0,16
65,0,17
65,0,18
54,1,52
66,0,19
60,1,7
70,0,20
65,0,21
86,0,53
307,0,54
307,0,55
136,1,56
60,1,8
65,0,17
1242,0,22
470,0,23
627,0,18
627,0,19
85,0,57
85,0,57
187,1,9
299,1,10
85,1,11
54,1,58
1242,0,24
86,0,59
440,0,25
85,0,60
55,1,61
66,1,4
55,1,60
66,1,4
55,1,60
55,1,61
66,1,1
66,1,4
144,1,62
60,1,3
133,1,4
54,1,63
55,1,62
66,1,4
55,1,17
66,1,4
55,1,7
60,1,1
54,1,8
66,1,4
